Year,Quarter,Month,Date,Country,Code,Origin City,Destination City,Price
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Warsaw,Luanda,2812
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Warsaw,Raleigh Durham,3134
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Warsaw,Cayenne,2594
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Warsaw,Chicago,2101
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Warsaw,Johannesburg,2514
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Warsaw,Miami,2396
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Warsaw,New York,2116
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Warsaw,Tunis,3131
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Warsaw,Phoenix,3480
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Warsaw,Algiers,3149
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Warsaw,Manila,3065
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Warsaw,Vancouver,2886
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Warsaw,Seattle,3612
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Warsaw,Lagos,2389
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Warsaw,Krakow,2116
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Warsaw,Washington,3179
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Warsaw,Beijing,2896
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Warsaw,Antananarivo,2982
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Warsaw,San Francisco,3290
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Warsaw,France,3470
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Warsaw,Dallas,3434
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Warsaw,Houston,3432
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Warsaw,Los Angeles,3280
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Krakow,Washington,3149
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Krakow,Los Angeles,2861
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Krakow,Dallas,3450
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Krakow,Phoenix,3407
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Krakow,Johannesburg,2484
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Krakow,Indian Ocean,3033
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Krakow,Chicago,2092
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Krakow,Raleigh Durham,3150
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Krakow,Seattle,3582
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Krakow,Ho Chi Minh City,2910
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Krakow,Krakow,2107
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Krakow,Minneapolis,2877
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Krakow,San Francisco,3278
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Krakow,Fortaleza,2585
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Krakow,Kigali,2908
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Krakow,Lagos,2357
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Krakow,Zanzibar,3118
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Krakow,Africa,2952
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Krakow,France,3439
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Krakow,Kilimanjaro,3103
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Krakow,Miami,2371
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Krakow,Houston,3400
2026,Q1 2026,February,2026-02-19 22:34,Poland,PL,Krakow,Mexico City,2107
2026,Q1 2026,February,2026-02-19 22:34,Hungary,HU,Budapest,Delhi,203000
2026,Q1 2026,February,2026-02-19 22:34,Hungary,HU,Budapest,St Martin,382700
2026,Q1 2026,February,2026-02-19 22:34,Hungary,HU,Budapest,Raleigh Durham,277700
2026,Q1 2026,February,2026-02-19 22:34,Hungary,HU,Budapest,New York,179500
2026,Q1 2026,February,2026-02-19 22:34,Hungary,HU,Budapest,Orlando,221400
2026,Q1 2026,February,2026-02-19 22:34,Hungary,HU,Budapest,France,203100
2026,Q1 2026,February,2026-02-19 22:34,Hungary,HU,Budapest,Washington,180600
2026,Q1 2026,February,2026-02-19 22:34,Hungary,HU,Budapest,Rio de Janeiro,195100
2026,Q1 2026,February,2026-02-19 22:34,Hungary,HU,Budapest,Antananarivo,246400
2026,Q1 2026,February,2026-02-19 22:34,Hungary,HU,Budapest,Houston,275700
2026,Q1 2026,February,2026-02-19 22:34,Hungary,HU,Budapest,San Francisco,216900
2026,Q1 2026,February,2026-02-19 22:34,Hungary,HU,Budapest,Budapest,246400
2026,Q1 2026,February,2026-02-19 22:34,Hungary,HU,Budapest,Lima,382700
2026,Q1 2026,February,2026-02-19 22:34,Hungary,HU,Budapest,Seattle,243500
2026,Q1 2026,February,2026-02-19 22:34,Hungary,HU,Budapest,Hong Kong,202900
2026,Q1 2026,February,2026-02-19 22:34,Hungary,HU,Budapest,Los Angeles,218100
2026,Q1 2026,February,2026-02-19 22:34,Hungary,HU,Budapest,Punta Cana,332600
2026,Q1 2026,February,2026-02-19 22:34,Hungary,HU,Budapest,Cancun,204400
2026,Q1 2026,February,2026-02-19 22:34,Hungary,HU,Budapest,Dallas,277700
2026,Q1 2026,February,2026-02-19 22:34,Hungary,HU,Budapest,Atlanta,191900
2026,Q1 2026,February,2026-02-19 22:34,Hungary,HU,Budapest,Papeete Tahiti,247600
2026,Q1 2026,February,2026-02-19 22:34,Hungary,HU,Budapest,Osaka,285500
2026,Q1 2026,February,2026-02-19 22:34,Hungary,HU,Budapest,Miami,218400
2026,Q1 2026,February,2026-02-19 22:34,Czech Republic,CZ,Prague,North America,11907
2026,Q1 2026,February,2026-02-19 22:34,Czech Republic,CZ,Prague,Papeete Tahiti,19036
2026,Q1 2026,February,2026-02-19 22:34,Czech Republic,CZ,Prague,Singapore,12743
2026,Q1 2026,February,2026-02-19 22:34,Czech Republic,CZ,Prague,France,12745
2026,Q1 2026,February,2026-02-19 22:34,Czech Republic,CZ,Prague,Cancun,14534
2026,Q1 2026,February,2026-02-19 22:34,Czech Republic,CZ,Prague,Toronto,14121
2026,Q1 2026,February,2026-02-19 22:34,Czech Republic,CZ,Prague,Washington,14759
2026,Q1 2026,February,2026-02-19 22:34,Czech Republic,CZ,Prague,Osaka,14184
2026,Q1 2026,February,2026-02-19 22:34,Czech Republic,CZ,Prague,Chicago,20085
2026,Q1 2026,February,2026-02-19 22:34,Czech Republic,CZ,Prague,San Francisco,12495
2026,Q1 2026,February,2026-02-19 22:34,Czech Republic,CZ,Prague,Punta Cana,18019
2026,Q1 2026,February,2026-02-19 22:34,Czech Republic,CZ,Prague,Montreal,20085
2026,Q1 2026,February,2026-02-19 22:34,Czech Republic,CZ,Prague,Los Angeles,14534
2026,Q1 2026,February,2026-02-19 22:34,Czech Republic,CZ,Prague,Bogota,19112
2026,Q1 2026,February,2026-02-19 22:34,Czech Republic,CZ,Prague,Cancun,19036
2026,Q1 2026,February,2026-02-19 22:34,Czech Republic,CZ,Prague,Delhi,17894
2026,Q1 2026,February,2026-02-19 22:34,Czech Republic,CZ,Prague,Mauritius,15878
2026,Q1 2026,February,2026-02-19 22:34,Czech Republic,CZ,Prague,Houston,18912
2026,Q1 2026,February,2026-02-19 22:34,Czech Republic,CZ,Prague,Raleigh Durham,18984
2026,Q1 2026,February,2026-02-19 22:34,Czech Republic,CZ,Prague,Seattle,12392
2026,Q1 2026,February,2026-02-19 22:34,Czech Republic,CZ,Prague,Caribbean,15390
2026,Q1 2026,February,2026-02-19 22:34,Czech Republic,CZ,Prague,New York,11012
2026,Q1 2026,February,2026-02-19 22:34,Czech Republic,CZ,Prague,Prague,11012
2026,Q1 2026,February,2026-02-19 22:34,Romania,RO,Bucharest,Bucharest,984
2026,Q1 2026,February,2026-02-19 22:34,Romania,RO,Bucharest,Colombo,909
2026,Q1 2026,February,2026-02-19 22:34,Romania,RO,Bucharest,Houston,753
2026,Q1 2026,February,2026-02-19 22:34,Romania,RO,Bucharest,Phoenix,772
2026,Q1 2026,February,2026-02-19 22:34,Romania,RO,Bucharest,Shanghai,979
2026,Q1 2026,February,2026-02-19 22:34,Romania,RO,Bucharest,Singapore,735
2026,Q1 2026,February,2026-02-19 22:34,Romania,RO,Bucharest,Seattle,792
